carat,cut,color,clarity,depth,table,price,x,y,z,L/W,color_scale,grams,ppg,clarity_scale,cut_scale
0.31,Ideal,I,VS1,61.3,55.6,513,4.37,4.4,2.69,0.9931818181818182,6,0.062,8274.193548387097,4,5
0.52,Ideal,G,VS2,61.9,55.0,1549,5.15,5.18,3.2,0.9942084942084943,4,0.10400000000000001,14894.230769230768,5,5
0.33,Ideal,E,VS1,62.6,57.0,1002,4.42,4.4,2.76,1.0045454545454544,2,0.066,15181.818181818182,4,5
0.3,Very Good,H,VVS1,63.4,57.0,878,4.31,4.27,2.72,1.009367681498829,5,0.06,14633.333333333334,2,3
1.0,Good,J,SI1,63.9,60.0,3679,6.26,6.19,3.98,1.011308562197092,7,0.2,18395.0,6,2
0.3,Ideal,E,I1,60.3,57.0,495,4.39,4.36,2.64,1.006880733944954,2,0.06,8250.0,8,5
0.47,Premium,H,VS1,61.8,58.0,1221,4.99,4.94,3.07,1.0101214574898785,5,0.094,12989.361702127659,4,4
1.01,Good,G,SI1,63.7,60.0,5113,6.32,6.28,4.01,1.0063694267515924,4,0.202,25311.88118811881,6,2
0.34,Ideal,H,SI1,62.6,56.0,628,4.48,4.46,2.8,1.0044843049327354,5,0.068,9235.294117647058,6,5
0.31,Ideal,E,VVS2,60.8,57.0,816,4.36,4.39,2.66,0.9931662870159454,2,0.062,13161.290322580646,3,5
0.74,Ideal,G,VS2,61.2,56.0,3434,5.82,5.85,3.57,0.994871794871795,4,0.148,23202.702702702703,5,5
0.33,Ideal,F,VS2,62.6,55.0,854,4.42,4.4,2.76,1.0045454545454544,3,0.066,12939.393939393938,5,5
1.08,Ideal,I,VS2,61.8,54.0,5455,6.6,6.57,4.07,1.004566210045662,6,0.21600000000000003,25254.629629629628,5,5
0.79,Ideal,G,SI1,62.3,57.0,2898,5.9,5.85,3.66,1.0085470085470087,4,0.15800000000000003,18341.77215189873,6,5
0.3,Ideal,H,VVS2,61.5,57.0,776,4.34,4.31,2.66,1.0069605568445477,5,0.06,12933.333333333334,3,5
1.33,Ideal,I,VVS2,62.2,56.0,7887,7.01,7.04,4.37,0.9957386363636364,6,0.266,29650.375939849622,3,5
0.51,Very Good,H,SI1,61.2,55.0,1008,5.19,5.21,3.18,0.9961612284069099,5,0.10200000000000001,9882.35294117647,6,3
0.58,Ideal,D,SI2,61.2,57.0,1342,5.36,5.4,3.29,0.9925925925925926,1,0.11599999999999999,11568.96551724138,7,5
1.22,Ideal,H,VS2,62.0,58.0,7623,6.81,6.86,4.24,0.9927113702623905,5,0.244,31241.803278688527,5,5
0.78,Good,H,VS2,63.7,60.0,2440,5.77,5.73,3.66,1.006980802792321,5,0.15600000000000003,15641.025641025639,5,2
1.62,Ideal,I,VS1,60.8,56.0,11152,7.56,7.61,4.62,0.9934296977660971,6,0.32400000000000007,34419.75308641975,4,5
0.55,Very Good,F,VS1,61.2,56.4,1975,5.28,5.33,3.25,0.9906191369606004,3,0.11000000000000001,17954.545454545452,4,3
1.64,Ideal,E,SI1,60.7,55.0,9801,7.67,7.64,4.65,1.0039267015706808,2,0.328,29881.09756097561,6,5
0.3,Premium,E,VS2,62.5,59.0,658,4.27,4.3,2.68,0.9930232558139535,2,0.06,10966.666666666668,5,4
0.41,Ideal,D,VS2,61.7,56.0,1076,4.81,4.78,2.96,1.006276150627615,1,0.082,13121.951219512195,5,5
0.3,Premium,D,VVS2,62.4,58.0,752,4.26,4.3,2.67,0.9906976744186047,1,0.06,12533.333333333334,3,4
1.1,Premium,G,VS2,59.6,60.0,6121,6.72,6.7,4.0,1.0029850746268656,4,0.22000000000000003,27822.72727272727,5,4
1.03,Ideal,I,SI1,63.3,57.0,4401,6.37,6.46,4.06,0.9860681114551084,6,0.20600000000000002,21364.077669902912,6,5
1.02,Premium,I,SI1,62.7,58.0,4227,6.44,6.41,4.03,1.0046801872074884,6,0.20400000000000001,20720.588235294115,6,4
0.56,Premium,E,VS2,61.8,56.0,1915,5.31,5.28,3.27,1.0056818181818181,2,0.11200000000000002,17098.214285714283,5,4
1.13,Premium,I,SI1,61.8,59.0,4536,6.65,6.68,4.12,0.9955089820359282,6,0.22599999999999998,20070.796460176993,6,4
0.34,Ideal,I,SI1,61.9,57.0,589,4.48,4.44,2.76,1.009009009009009,6,0.068,8661.764705882353,6,5
1.16,Premium,H,SI2,58.8,61.0,4157,6.93,6.84,4.05,1.013157894736842,5,0.23199999999999998,17918.103448275862,7,4
0.38,Very Good,F,VS2,59.7,57.0,752,4.73,4.79,2.84,0.9874739039665972,3,0.07600000000000001,9894.736842105262,5,3
1.03,Premium,G,SI1,60.5,60.0,5105,6.52,6.48,3.93,1.0061728395061726,4,0.20600000000000002,24781.55339805825,6,4
0.9,Very Good,E,SI2,62.2,54.0,3715,6.13,6.21,3.84,0.9871175523349436,2,0.18000000000000002,20638.888888888887,7,3
0.5,Very Good,D,SI1,62.8,58.0,1415,5.02,5.05,3.16,0.994059405940594,1,0.1,14150.0,6,3
0.3,Ideal,F,SI1,62.2,54.2,499,4.31,4.34,2.69,0.9930875576036866,3,0.06,8316.666666666668,6,5
0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,0.9981981981981982,1,0.128,21773.4375,4,5
1.24,Premium,G,VVS1,60.4,59.0,10485,7.02,7.01,4.24,1.0014265335235377,4,0.248,42278.22580645161,2,4
0.27,Ideal,E,VS1,61.6,56.0,603,4.17,4.14,2.56,1.0072463768115942,2,0.054000000000000006,11166.666666666666,4,5
1.0,Premium,J,VVS2,59.6,61.0,3864,6.4,6.36,3.8,1.0062893081761006,7,0.2,19320.0,3,4
0.71,Ideal,G,VS2,62.9,56.0,2443,5.73,5.68,3.59,1.0088028169014085,4,0.142,17204.225352112677,5,5
0.36,Premium,E,SI1,60.8,59.0,810,4.59,4.56,2.78,1.006578947368421,2,0.072,11250.0,6,4
0.31,Ideal,D,SI2,62.1,57.0,593,4.34,4.32,2.69,1.0046296296296295,1,0.062,9564.516129032258,7,5
0.93,Ideal,H,SI1,62.8,56.0,3988,6.19,6.27,3.91,0.9872408293460926,5,0.18600000000000003,21440.86021505376,6,5
0.33,Good,D,VS2,61.8,61.0,652,4.4,4.44,2.73,0.990990990990991,1,0.066,9878.787878787878,5,2
1.77,Premium,G,SI2,62.7,59.0,9664,7.67,7.66,4.8,1.0013054830287207,4,0.35400000000000004,27299.435028248583,7,4
1.06,Ideal,E,SI2,62.2,55.0,5223,6.51,6.54,4.06,0.9954128440366972,2,0.21200000000000002,24636.792452830185,7,5
1.21,Ideal,G,SI2,62.1,57.0,5226,6.8,6.85,4.24,0.9927007299270073,4,0.242,21595.04132231405,7,5
0.3,Ideal,E,VVS1,62.3,55.0,826,4.29,4.32,2.68,0.9930555555555555,2,0.06,13766.666666666668,2,5
1.27,Ideal,I,VS2,62.6,57.0,6401,6.92,6.88,4.32,1.005813953488372,6,0.254,25200.787401574802,5,5
0.92,Very Good,D,SI2,62.4,60.0,4168,6.21,6.25,3.89,0.9936,1,0.18400000000000002,22652.173913043476,7,3
0.31,Ideal,I,VS1,61.9,54.0,489,4.34,4.38,2.7,0.9908675799086758,6,0.062,7887.096774193548,4,5
0.38,Premium,F,VS1,62.4,59.0,933,4.57,4.63,2.87,0.9870410367170627,3,0.07600000000000001,12276.315789473681,4,4
0.23,Premium,F,VVS2,61.3,59.0,445,3.94,3.99,2.43,0.9874686716791979,3,0.046000000000000006,9673.91304347826,3,4
0.92,Ideal,I,SI1,62.1,55.0,3610,6.24,6.29,3.89,0.9920508744038156,6,0.18400000000000002,19619.5652173913,6,5
0.32,Very Good,G,VS1,62.1,55.0,645,4.41,4.44,2.75,0.9932432432432432,4,0.064,10078.125,4,3
1.0,Ideal,F,SI2,61.2,57.0,4372,6.39,6.48,3.94,0.986111111111111,3,0.2,21860.0,7,5
0.31,Very Good,F,VVS1,59.4,57.0,779,4.39,4.43,2.62,0.9909706546275395,3,0.062,12564.516129032258,2,3
0.31,Ideal,G,VVS2,62.2,55.0,565,4.32,4.36,2.7,0.9908256880733944,4,0.062,9112.90322580645,3,5
0.77,Very Good,J,SI1,61.0,59.0,2086,5.94,5.99,3.64,0.991652754590985,7,0.15400000000000003,13545.454545454542,6,3
1.13,Very Good,H,SI2,59.8,59.0,4537,6.75,6.82,4.06,0.9897360703812317,5,0.22599999999999998,20075.221238938055,7,3
0.32,Ideal,D,SI1,62.6,55.0,589,4.36,4.39,2.74,0.9931662870159454,1,0.064,9203.125,6,5
0.71,Premium,G,VS2,60.3,59.0,2443,5.79,5.76,3.48,1.0052083333333335,4,0.142,17204.225352112677,5,4
1.11,Ideal,F,VS2,60.4,58.0,7275,6.73,6.66,4.04,1.0105105105105106,3,0.22200000000000003,32770.270270270266,5,5
1.02,Premium,F,SI2,61.1,59.0,4541,6.45,6.41,3.93,1.0062402496099845,3,0.20400000000000001,22259.803921568626,7,4
1.56,Ideal,H,VS2,61.5,56.0,11636,7.5,7.46,4.6,1.0053619302949062,5,0.31200000000000006,37294.87179487179,5,5
0.34,Very Good,I,VS2,61.6,56.0,457,4.47,4.51,2.76,0.991130820399113,6,0.068,6720.588235294117,5,3
0.96,Premium,G,SI2,62.7,60.0,3215,6.29,6.11,3.89,1.0294599018003272,4,0.192,16744.791666666668,7,4
0.31,Premium,D,VS2,62.3,55.0,942,4.35,4.32,2.7,1.0069444444444442,1,0.062,15193.548387096775,5,4
0.64,Very Good,G,VS1,60.4,62.0,2060,5.54,5.58,3.36,0.992831541218638,4,0.128,16093.75,4,3
1.01,Premium,F,VVS1,62.5,58.0,7882,6.41,6.35,3.99,1.0094488188976378,3,0.202,39019.80198019802,2,4
0.35,Ideal,H,VVS2,62.5,57.0,706,4.48,4.54,2.82,0.9867841409691631,5,0.06999999999999999,10085.714285714286,3,5
0.7,Premium,F,SI2,62.5,60.0,2373,5.66,5.61,3.52,1.0089126559714794,3,0.13999999999999999,16950.0,7,4
0.3,Ideal,H,VS1,62.1,54.0,675,4.35,4.32,2.69,1.0069444444444442,5,0.06,11250.0,4,5
0.71,Ideal,H,VVS1,61.1,56.0,3137,5.78,5.81,3.53,0.9948364888123925,5,0.142,22091.54929577465,2,5
0.31,Ideal,G,IF,61.1,57.0,871,4.38,4.42,2.68,0.9909502262443439,4,0.062,14048.387096774193,1,5
1.18,Premium,I,SI1,62.8,56.0,5088,6.74,6.71,4.22,1.0044709388971684,6,0.236,21559.322033898305,6,4
1.22,Very Good,G,SI2,63.2,58.0,6409,6.82,6.76,4.29,1.0088757396449706,4,0.244,26266.39344262295,7,3
1.03,Premium,G,SI1,60.1,60.0,5581,6.55,6.52,3.93,1.0046012269938651,4,0.20600000000000002,27092.233009708736,6,4
0.7,Ideal,F,VS2,62.0,56.0,2671,5.71,5.74,3.55,0.994773519163763,3,0.13999999999999999,19078.57142857143,5,5
1.01,Good,E,SI1,64.3,59.0,5379,6.23,6.28,4.02,0.9920382165605096,2,0.202,26628.712871287127,6,2
1.0,Fair,H,VS1,64.6,59.0,5242,6.3,6.26,4.06,1.0063897763578276,5,0.2,26210.0,4,1
1.1,Ideal,F,VVS2,61.2,56.0,10487,6.66,6.74,4.1,0.9881305637982196,3,0.22000000000000003,47668.18181818181,3,5
0.59,Ideal,D,IF,60.9,57.0,4208,5.4,5.43,3.3,0.9944751381215471,1,0.118,35661.016949152545,1,5
0.3,Very Good,H,VS2,63.5,59.0,608,4.27,4.2,2.69,1.0166666666666666,5,0.06,10133.333333333334,5,3
0.56,Ideal,E,VS1,61.3,55.0,1930,5.29,5.32,3.25,0.994360902255639,2,0.11200000000000002,17232.142857142855,4,5
0.9,Premium,F,SI1,61.7,62.0,3936,6.19,6.13,3.8,1.0097879282218598,3,0.18000000000000002,21866.666666666664,6,4
0.57,Very Good,E,VS2,60.7,58.0,1732,5.37,5.33,3.25,1.0075046904315197,2,0.11399999999999999,15192.982456140353,5,3
0.72,Ideal,D,SI2,61.2,57.0,2328,5.76,5.8,3.54,0.993103448275862,1,0.144,16166.666666666668,7,5
0.4,Ideal,G,VVS1,62.1,53.0,1043,4.75,4.79,2.96,0.9916492693110647,4,0.08000000000000002,13037.499999999998,2,5
1.22,Premium,I,SI2,62.3,58.0,4831,6.8,6.85,4.25,0.9927007299270073,6,0.244,19799.180327868853,7,4
1.02,Ideal,G,IF,62.3,57.0,8955,6.43,6.5,4.03,0.9892307692307691,4,0.20400000000000001,43897.058823529405,1,5
1.08,Ideal,H,VS2,61.8,56.0,5625,6.59,6.55,4.06,1.0061068702290077,5,0.21600000000000003,26041.666666666664,5,5
0.33,Premium,G,IF,60.8,58.0,1052,4.46,4.42,2.7,1.009049773755656,4,0.066,15939.393939393938,1,4
0.42,Very Good,E,VVS2,59.8,56.0,1167,4.9,4.92,2.94,0.9959349593495935,2,0.084,13892.857142857141,3,3
1.36,Very Good,F,SI1,62.8,53.0,6597,7.05,7.1,4.45,0.9929577464788732,3,0.272,24253.676470588234,6,3
0.58,Ideal,F,VS1,62.1,56.0,2088,5.38,5.32,3.32,1.0112781954887218,3,0.11599999999999999,18000.0,4,5
1.02,Good,G,SI1,63.6,58.0,4964,6.34,6.39,4.05,0.9921752738654147,4,0.20400000000000001,24333.333333333332,6,2
1.15,Very Good,F,SI2,63.1,63.0,4915,6.67,6.57,4.18,1.015220700152207,3,0.22999999999999998,21369.565217391308,7,3
0.79,Premium,D,SI2,60.0,60.0,2853,6.07,6.03,3.63,1.0066334991708126,1,0.15800000000000003,18056.962025316454,7,4
0.32,Premium,D,VS2,62.9,59.0,842,4.39,4.36,2.75,1.006880733944954,1,0.064,13156.25,5,4
0.31,Ideal,F,VS2,61.6,56.0,749,4.38,4.35,2.69,1.006896551724138,3,0.062,12080.645161290322,5,5
0.54,Very Good,F,VS1,61.0,58.0,1813,5.24,5.25,3.2,0.9980952380952381,3,0.10800000000000001,16787.037037037036,4,3
0.5,Very Good,D,VS2,62.8,60.0,1627,5.02,5.08,3.17,0.9881889763779527,1,0.1,16270.0,5,3
1.86,Very Good,H,SI2,62.3,57.0,11416,7.82,7.85,4.88,0.9961783439490447,5,0.37200000000000005,30688.17204301075,7,3
1.04,Very Good,H,VS2,60.9,58.0,5447,6.5,6.6,3.99,0.9848484848484849,5,0.20800000000000002,26187.499999999996,5,3
1.41,Ideal,G,VS2,60.8,55.0,10581,7.27,7.2,4.4,1.0097222222222222,4,0.282,37521.27659574468,5,5
0.3,Ideal,E,SI1,61.6,54.0,499,4.32,4.35,2.67,0.9931034482758622,2,0.06,8316.666666666668,6,5
0.33,Ideal,H,VS1,61.6,55.0,610,4.46,4.48,2.75,0.9955357142857142,5,0.066,9242.424242424242,4,5
1.06,Ideal,D,SI1,62.7,54.0,6055,6.55,6.52,4.1,1.0046012269938651,1,0.21200000000000002,28561.320754716977,6,5
0.31,Ideal,I,SI2,62.0,54.1,372,4.32,4.35,2.69,0.9931034482758622,6,0.062,6000.0,7,5
0.91,Good,G,SI1,64.3,60.0,3344,6.04,6.12,3.91,0.9869281045751633,4,0.18200000000000002,18373.62637362637,6,2
0.75,Very Good,J,SI1,62.4,56.0,2083,5.78,5.82,3.62,0.993127147766323,7,0.15000000000000002,13886.666666666664,6,3
0.3,Very Good,F,IF,62.1,57.0,886,4.26,4.3,2.66,0.9906976744186047,3,0.06,14766.666666666668,1,3
0.41,Ideal,D,VVS1,60.6,57.0,1582,4.82,4.79,2.91,1.0062630480167014,1,0.082,19292.682926829268,2,5
1.01,Premium,H,SI2,59.4,62.0,3083,6.47,6.43,3.83,1.0062208398133747,5,0.202,15262.376237623761,7,4
1.02,Very Good,G,VVS1,63.0,58.0,7657,6.4,6.43,4.04,0.995334370139969,4,0.20400000000000001,37534.313725490196,2,3
0.27,Ideal,G,VS1,62.3,53.0,527,4.16,4.19,2.6,0.9928400954653938,4,0.054000000000000006,9759.259259259257,4,5
0.7,Very Good,F,SI1,62.6,56.0,2196,5.66,5.72,3.56,0.9895104895104896,3,0.13999999999999999,15685.714285714288,6,3
1.51,Ideal,I,VS2,62.3,57.0,9297,7.28,7.37,4.56,0.9877883310719132,6,0.30200000000000005,30784.768211920524,5,5
0.54,Premium,G,VS2,62.7,58.0,1422,5.21,5.25,3.28,0.9923809523809524,4,0.10800000000000001,13166.666666666664,5,4
1.23,Premium,D,SI2,58.9,58.0,5283,6.99,6.97,4.11,1.0028694404591105,1,0.246,21475.60975609756,7,4
0.9,Good,E,SI1,63.9,57.0,3795,6.12,6.08,3.9,1.006578947368421,2,0.18000000000000002,21083.333333333332,6,2
0.31,Premium,H,SI1,62.7,58.0,558,4.34,4.31,2.71,1.0069605568445477,5,0.062,9000.0,6,4
1.25,Ideal,G,SI2,61.1,55.0,6371,6.95,6.99,4.26,0.994277539341917,4,0.25,25484.0,7,5
1.01,Premium,G,SI2,59.1,59.0,4242,6.55,6.51,3.86,1.0061443932411673,4,0.202,21000.0,7,4
0.3,Very Good,F,SI2,63.5,57.0,506,4.25,4.22,2.69,1.0071090047393365,3,0.06,8433.333333333334,7,3
0.28,Very Good,E,VS1,59.5,59.0,487,4.29,4.35,2.57,0.9862068965517242,2,0.05600000000000001,8696.42857142857,4,3
0.51,Premium,F,SI2,61.1,59.0,1227,5.15,5.09,3.13,1.0117878192534382,3,0.10200000000000001,12029.411764705881,7,4
0.52,Ideal,I,VS2,61.9,58.0,1232,5.14,5.17,3.19,0.9941972920696325,6,0.10400000000000001,11846.153846153846,5,5
0.52,Premium,G,VVS1,59.2,58.0,2153,5.31,5.28,3.14,1.0056818181818181,4,0.10400000000000001,20701.923076923074,2,4
0.3,Good,D,SI2,63.3,57.0,447,4.26,4.3,2.71,0.9906976744186047,1,0.06,7450.0,7,2
0.51,Very Good,D,SI1,62.2,58.0,1398,5.08,5.11,3.17,0.9941291585127201,1,0.10200000000000001,13705.882352941175,6,3
0.42,Premium,D,VVS2,62.8,59.0,1241,4.76,4.73,2.98,1.0063424947145876,1,0.084,14773.809523809523,3,4
0.7,Very Good,E,VS2,58.9,60.0,2845,5.83,5.85,3.44,0.9965811965811967,2,0.13999999999999999,20321.428571428572,5,3
1.0,Premium,G,SI2,62.7,59.0,4095,6.3,6.36,3.97,0.990566037735849,4,0.2,20475.0,7,4
1.2,Ideal,G,SI2,61.1,57.0,5722,6.83,6.86,4.18,0.9956268221574344,4,0.24,23841.666666666668,7,5
1.01,Premium,E,VS1,62.0,59.0,7964,6.42,6.38,3.97,1.006269592476489,2,0.202,39425.74257425742,4,4
0.5,Ideal,H,SI1,61.7,58.0,1035,5.07,5.11,3.14,0.9921722113502935,5,0.1,10350.0,6,5
1.0,Premium,E,VS1,60.4,59.0,7744,6.51,6.54,3.94,0.9954128440366972,2,0.2,38720.0,4,4
0.31,Ideal,F,IF,61.4,56.0,1061,4.38,4.41,2.7,0.9931972789115646,3,0.062,17112.90322580645,1,5
0.4,Very Good,D,VS2,63.3,58.0,845,4.63,4.66,2.94,0.9935622317596566,1,0.08000000000000002,10562.499999999998,5,3
0.32,Very Good,G,VS2,62.3,55.0,544,4.38,4.41,2.73,0.9931972789115646,4,0.064,8500.0,5,3
1.05,Premium,E,I1,61.4,58.0,2964,6.53,6.46,3.99,1.0108359133126936,2,0.21000000000000002,14114.285714285714,8,4
1.05,Premium,G,VS2,61.9,59.0,5821,6.56,6.52,4.05,1.0061349693251533,4,0.21000000000000002,27719.047619047615,5,4
1.0,Good,G,VS1,63.9,55.0,6028,6.34,6.28,4.03,1.0095541401273884,4,0.2,30140.0,4,2
0.3,Very Good,I,VS1,63.3,59.0,608,4.23,4.2,2.67,1.0071428571428571,6,0.06,10133.333333333334,4,3
0.3,Very Good,E,VS2,62.4,57.0,658,4.24,4.26,2.65,0.995305164319249,2,0.06,10966.666666666668,5,3
1.0,Good,G,VVS2,60.9,56.0,7492,6.49,6.52,3.96,0.9953987730061351,4,0.2,37460.0,3,2
0.39,Premium,F,VS1,60.6,55.0,1092,4.77,4.73,2.88,1.0084566596194502,3,0.07800000000000001,13999.999999999998,4,4
0.31,Very Good,G,SI1,63.0,56.0,462,4.3,4.34,2.72,0.9907834101382489,4,0.062,7451.612903225807,6,3
0.31,Premium,G,VS2,61.8,58.0,435,4.35,4.39,2.7,0.9908883826879271,4,0.062,7016.129032258064,5,4
0.6,Ideal,F,SI1,61.5,58.0,1646,5.38,5.41,3.32,0.9944547134935304,3,0.12,13716.666666666668,6,5
0.31,Ideal,G,SI2,60.5,57.0,523,4.4,4.36,2.65,1.0091743119266054,4,0.062,8435.483870967742,7,5
0.3,Very Good,D,VS2,62.6,61.0,710,4.22,4.25,2.65,0.9929411764705882,1,0.06,11833.333333333334,5,3
0.41,Ideal,G,VVS1,62.1,55.0,1230,4.79,4.74,2.96,1.010548523206751,4,0.082,15000.0,2,5
0.33,Premium,G,VS1,60.3,58.0,621,4.5,4.52,2.72,0.9955752212389382,4,0.066,9409.090909090908,4,4
0.7,Very Good,F,VS1,61.8,59.0,2895,5.66,5.76,3.53,0.982638888888889,3,0.13999999999999999,20678.57142857143,4,3
0.28,Very Good,E,VVS1,62.1,57.0,707,4.17,4.21,2.6,0.9904988123515439,2,0.05600000000000001,12624.999999999998,2,3
0.7,Very Good,I,VS1,63.3,55.0,1995,5.64,5.6,3.56,1.0071428571428571,6,0.13999999999999999,14250.000000000002,4,3
0.35,Ideal,D,VS1,60.8,57.0,952,4.61,4.57,2.79,1.0087527352297594,1,0.06999999999999999,13600.000000000002,4,5
1.0,Ideal,G,SI1,61.0,57.0,5622,6.47,6.44,3.94,1.0046583850931676,4,0.2,28110.0,6,5
0.76,Premium,F,IF,60.6,60.0,4150,5.89,5.85,3.56,1.0068376068376068,3,0.15200000000000002,27302.631578947363,1,4
1.0,Very Good,G,SI1,62.6,59.0,4844,6.29,6.33,3.95,0.9936808846761453,4,0.2,24220.0,6,3
0.25,Very Good,F,VVS2,62.0,59.0,576,3.99,4.04,2.49,0.9876237623762376,3,0.05,11520.0,3,3
